topword,middleword,bottomword,chosenword,percentage,trial_type,question,response,rt,session,points,trialnum,datetime
 pain, power,a reason, pain,,trial,,,2458.300000011921,1,3692,175,2022-06-01T17:05:54.189Z
 power, pain, country, country,,trial,,,4427.5999999940395,1,3693,176,2022-06-01T17:05:58.617Z
an arm, country, pain,an arm,,trial,,,3136.0999999940395,1,3703,177,2022-06-01T17:06:01.753Z
 country,an arm, hair, hair,,trial,,,3369.600000023842,1,3704,178,2022-06-01T17:06:05.123Z
to speak, hair,an arm,an arm,,trial,,,3968.199999988079,1,3714,179,2022-06-01T17:06:09.091Z
coyote,seal,perch,,54,feedback,,,10941.59999999404,1,3724,180,2022-06-01T17:06:20.035Z
 child,a message,a shelf,a shelf,,trial,,,2554,1,3812,181,2022-06-01T17:06:25.041Z
a word,a shelf,a message,a word,,trial,,,5057.899999976158,1,3822,182,2022-06-01T17:06:30.099Z
a shelf,a word,pink,pink,,trial,,,2974,1,3823,183,2022-06-01T17:06:33.073Z
 weak,pink,a word, weak,,trial,,,2131.4000000059605,1,3833,184,2022-06-01T17:06:35.205Z
pink, weak,a message,pink,,trial,,,5053,1,3834,185,2022-06-01T17:06:40.258Z
elephant,dolphin,lobster,,54,feedback,,,12701.40000000596,1,3835,186,2022-06-01T17:06:52.961Z
a shoe,purple,purple,purple,,catch,,,3525,1,3918,187,2022-06-01T17:07:00.084Z
pony,seal,perch,,55,feedback,,,8300.40000000596,1,3928,188,2022-06-01T17:07:08.387Z
 hair,an arm,a teacher, hair,,trial,,,3221.199999988079,1,4006,189,2022-06-01T17:07:15.900Z
an arm, hair,to steal,to steal,,trial,,,2925.5,1,4007,190,2022-06-01T17:07:18.826Z
a corner,to steal, hair,a corner,,trial,,,3400.2000000178814,1,4017,191,2022-06-01T17:07:22.226Z
to steal,a corner,a picture,a picture,,trial,,,2740,1,4018,192,2022-06-01T17:07:24.966Z
a shelf,a picture,a corner,a shelf,,trial,,,2692.199999988079,1,4028,193,2022-06-01T17:07:27.658Z
a picture,a shelf,a word,a word,,trial,,,2823.5999999940395,1,4029,194,2022-06-01T17:07:30.482Z
rattlesnake,turtle,perch,,61,feedback,,,7654.5,1,4039,195,2022-06-01T17:07:38.140Z
 cheap,to sell,a corner, cheap,,trial,,,5112.699999988079,1,4127,196,2022-06-01T17:07:45.066Z
to sell, cheap,to deceive,to deceive,,trial,,,2600.800000011921,1,4128,197,2022-06-01T17:07:47.667Z
a box,to deceive, cheap,a box,,trial,,,2925.7999999821186,1,4138,198,2022-06-01T17:07:50.592Z
to deceive,a box, money, money,,trial,,,2396,1,4139,199,2022-06-01T17:07:52.988Z
 cheap, money,a box, cheap,,trial,,,3019.9000000059605,1,4149,200,2022-06-01T17:07:56.008Z
 money, cheap,to believe,to believe,,trial,,,2644.300000011921,1,4150,201,2022-06-01T17:07:58.653Z
turkey,penguin,seal,,46,feedback,,,15076.5,1,4160,202,2022-06-01T17:08:13.732Z
white,green,to destroy,white,,trial,,,2699.0999999940395,1,4257,203,2022-06-01T17:08:27.060Z
green,white,a shoe,a shoe,,trial,,,2786.2000000178814,1,4258,204,2022-06-01T17:08:29.846Z
a knife,a shoe,white,a knife,,trial,,,2334,1,4268,205,2022-06-01T17:08:32.180Z
a shoe,a knife, sad, sad,,trial,,,3478.0999999940395,1,4269,206,2022-06-01T17:08:35.658Z
